t(s),vx(m/s),vy(m/s),vz(m/s),r(deg),p(deg),y(deg),lat(deg),lon(deg),alt(m),heading(deg),b(V),b(A),b(%)
0.0019681453704833984,0.0,0.0,0.0,0.0390206072590717,-0.06430940600641705,359.79178516494784,47.3977419,8.5455938,-0.008,359.79178516494784,12.15,-1.0,100
0.20243239402770996,0.0,0.0,0.0,0.044779890802313885,-0.08237390232945867,359.78900854630785,47.3977419,8.5455939,0.0,359.78900854630785,12.149,-1.0,100
0.40289735794067383,0.0,0.0,0.0,0.02590438622155928,-0.09294717523687725,359.78278927220236,47.3977419,8.5455939,-0.001,359.78278927220236,12.149,-1.0,100
0.6059484481811523,0.0,0.0,0.0,0.030943818519092368,-0.08828209600279904,359.78764482967097,47.3977419,8.5455939,-0.002,359.78764482967097,12.149,-1.0,100
0.8070528507232666,0.0,0.0,0.0,0.02085744338398182,-0.08865174664109292,359.8120291919773,47.3977419,8.545594,-0.003,359.8120291919773,12.147,-1.0,100
1.008082389831543,0.0,0.0,0.0,0.03304933772256119,-0.10689921732869684,359.7885575403792,47.397742,8.545594,-0.002,359.7885575403792,12.145,-1.0,100
1.2085447311401367,0.01,0.0,0.0,0.034475039660202184,-0.09112017300507157,359.77575920661764,47.397742,8.545594,-0.003,359.77575920661764,12.143,-1.0,100
1.4095172882080078,0.01,0.01,0.0,0.040098056260427985,-0.0930575388208685,359.7618562498404,47.397742,8.545594,-0.005,359.7618562498404,12.139,-1.0,100
1.610185146331787,0.0,0.0,-0.12,-0.32982308487202505,0.3160576923735106,359.7665634507977,47.397742,8.545594,0.0,359.7665634507977,12.136,-1.0,100
1.8106634616851807,-0.01,0.0,-0.48,-0.3091751828872385,0.2761062083708135,359.8023227727952,47.397742,8.545594,0.059,359.8023227727952,12.132,-1.0,99
2.0112369060516357,-0.01,-0.01,-0.81,0.030639288131645,-0.05872826100044393,359.82269198438553,47.3977419,8.545594,0.173,359.82269198438553,12.128,-1.0,99
2.212360143661499,-0.01,-0.01,-1.15,0.0995660954500824,-0.09563524154146072,359.8180854219967,47.3977419,8.5455939,0.353,359.8180854219967,12.124,-1.0,99
2.412830114364624,0.0,0.0,-1.38,0.14948079773941825,-0.10145279513605958,359.829374924282,47.3977419,8.5455938,0.598,359.829374924282,12.12,-1.0,99
2.613302230834961,0.0,0.0,-1.43,0.13513358518140978,-0.1504731895412667,359.82217155598727,47.3977418,8.5455938,0.872,359.82217155598727,12.115,-1.0,98
2.8137645721435547,0.0,0.0,-1.46,0.1257085777972401,-0.1727086702810449,359.8123912320239,47.3977418,8.5455937,1.134,359.8123912320239,12.11,-1.0,98
3.0150177478790283,0.0,0.0,-1.46,0.11217281038892765,-0.18586426829293734,359.81991938114976,47.3977418,8.5455937,1.404,359.81991938114976,12.105,-1.0,98
3.216477632522583,0.0,0.0,-1.46,0.04813730230534539,-0.15595737787753738,0.16379750122978642,47.3977418,8.5455937,1.691,0.16379750122978642,12.1,-1.0,98
3.4177258014678955,0.0,0.0,-1.46,-0.00686811497932317,-0.12054909025080948,359.9843447611927,47.3977418,8.5455937,1.968,359.9843447611927,12.095,-1.0,97
3.618675708770752,0.0,0.0,-1.45,0.03245046553551528,-0.1349392182747553,359.7064459933531,47.3977418,8.5455937,2.268,359.7064459933531,12.09,-1.0,97
3.8192005157470703,0.0,0.01,-1.45,0.06828389575249011,-0.06624351014008104,359.6062934087689,47.3977418,8.5455937,2.568,359.6062934087689,12.085,-1.0,97
4.020012617111206,0.0,0.0,-1.44,0.09103545598100092,-0.05782408135853044,359.62346597176577,47.3977418,8.5455936,2.868,359.62346597176577,12.08,-1.0,96
